Date,Open,High,Low,Close,Volume,Adj Close,Return
09/02/2016,5689.399902,5739.299805,5596.299805,5632.200195,1112497500,5632.200195,-0.010053733
08/02/2016,5848.100098,5882.399902,5666.100098,5689.399902,968728200,5689.399902,-0.027137052
05/02/2016,5898.799805,5945.899902,5839.399902,5848.100098,954158300,5848.100098,-0.008594919
04/02/2016,5837.100098,5938.100098,5831.100098,5898.799805,1021666600,5898.799805,0.010570267
03/02/2016,5922,5924.600098,5791,5837.100098,996202200,5837.100098,-0.014336356
02/02/2016,6060.100098,6060.5,5889.600098,5922,986962800,5922,-0.022788419
01/02/2016,6083.799805,6115.100098,5993.799805,6060.100098,808643200,6060.100098,-0.003895544
29/01/2016,5931.799805,6083.799805,5931.799805,6083.799805,988153400,6083.799805,0.0256246
28/01/2016,5990.399902,6020.5,5889.399902,5931.799805,892436800,5931.799805,-0.009782335
27/01/2016,5911.5,5990.399902,5870.799805,5990.399902,875026000,5990.399902,0.01334685
26/01/2016,5877,5919.200195,5771.399902,5911.5,852296000,5911.5,0.005870342
25/01/2016,5900,5933.5,5851.799805,5877,803777200,5877,-0.003898305
22/01/2016,5773.799805,5926.899902,5773.799805,5900,879968100,5900,0.02185739
21/01/2016,5673.600098,5781.200195,5659.200195,5773.799805,1089335700,5773.799805,0.017660693
20/01/2016,5876.799805,5876.799805,5639.899902,5673.600098,1035052400,5673.600098,-0.034576592
19/01/2016,5779.899902,5915.700195,5779.899902,5876.799805,808697900,5876.799805,0.016764979
18/01/2016,5804.100098,5852.100098,5766.5,5779.899902,718879400,5779.899902,-0.0041695
15/01/2016,5918.200195,5934.600098,5769.200195,5804.100098,1084338100,5804.100098,-0.019279526
14/01/2016,5961,5961,5829.299805,5918.200195,1067078800,5918.200195,-0.007179971
13/01/2016,5929.200195,6011.100098,5929.200195,5961,809502200,5961,0.005363254
12/01/2016,5871.799805,5985.799805,5866.700195,5929.200195,806737100,5929.200195,0.009775604
11/01/2016,5912.399902,5941.899902,5871.799805,5871.799805,817313600,5871.799805,-0.00686694
08/01/2016,5954.100098,6013.399902,5912.399902,5912.399902,809964200,5912.399902,-0.00700361
07/01/2016,6073.399902,6073.399902,5888,5954.100098,1054315500,5954.100098,-0.019643002
06/01/2016,6137.200195,6137.200195,6018.700195,6073.399902,699957700,6073.399902,-0.010395668
05/01/2016,6093.399902,6166.299805,6079.200195,6137.200195,624070800,6137.200195,0.007188153
04/01/2016,6242.299805,6242.299805,6071,6093.399902,686232700,6093.399902,-0.023853373
31/12/2015,6274.100098,6278.299805,6233,6242.299805,161427100,6242.299805,-0.005068503
30/12/2015,6314.600098,6314.600098,6261.5,6274.100098,327817500,6274.100098,-0.006413708
29/12/2015,6254.600098,6314.600098,6245.200195,6314.600098,448441700,6314.600098,0.009592939
24/12/2015,6241,6259.899902,6236.899902,6254.600098,108851800,6254.600098,0.002179154
23/12/2015,6083.100098,6248.5,6083.100098,6241,578630000,6241,0.025957143
22/12/2015,6034.799805,6090.600098,6031.799805,6083.100098,424323400,6083.100098,0.008003628
21/12/2015,6052.399902,6114,6034.799805,6034.799805,545001400,6034.799805,-0.002907953
